,KIC,Kpmag,numax,e_numax,Delnu,e_Delnu,Teff_x,e_Teff_x,log(g),e_log(g),[Fe/H],e_[Fe/H],Dist,E_Dist,e_Dist,luminosity_berger
15119,12167521,11.03,34.52,0.54,4.22,0.052000000000000005,5155,100,2.4619999999999997,0.009000000000000001,-0.27,0.15,1296.9489999999998,38.048,36.036,72.79299008536483
15120,12167670,13.87,25.59,1.11,3.3539999999999996,0.057,4759,148,2.314,0.021,0.35,0.3,4895.485,381.912,331.82300000000004,88.619951760993
15121,12167910,12.47,17.2,0.36,2.2569999999999997,0.017,4562,100,2.1319999999999997,0.011000000000000001,0.09,0.15,2694.897,197.248,172.59900000000002,93.97083942636367
15122,12168062,13.63,152.49,1.03,12.402999999999999,0.021,5211,158,3.109,0.008,-0.04,0.3,1933.45,57.907,54.78,14.82396204706592
15123,12168263,12.92,52.97,0.55,5.307,0.013000000000000001,5070,151,2.6439999999999997,0.009000000000000001,-0.24,0.3,2416.348,132.855,120.036,46.55772711977705
15124,12168406,11.72,44.8,0.62,4.765,0.012,4677,100,2.5540000000000003,0.009000000000000001,0.41,0.15,1209.2930000000001,32.095,30.557,38.20176203308236
15125,12168413,13.53,193.26,1.77,14.189,0.023,5181,157,3.2110000000000003,0.009000000000000001,-0.01,0.3,1832.7020000000002,46.68600000000001,44.543,14.948346055205748
15126,12169353,13.79,33.84,0.72,4.093,0.054000000000000006,5094,161,2.45,0.012,0.01,0.3,4374.391,329.281,287.32599999999996,71.50965621740892
15127,12169488,13.19,30.59,1.09,3.563,0.042,5022,161,2.403,0.018000000000000002,0.1,0.3,3602.8959999999997,173.287,158.542,89.98962063637694
15128,12169845,10.72,31.36,0.48,3.323,0.012,4792,100,2.404,0.009000000000000001,0.07,0.15,1155.362,30.651999999999997,29.184,74.70941667651479
15129,12169891,13.61,75.45,0.96,7.22,0.018000000000000002,5044,157,2.7960000000000003,0.01,-0.05,0.3,2446.94,95.384,88.726,26.337773351509355
15130,12169910,13.67,33.16,0.83,4.0760000000000005,0.028999999999999998,5000,164,2.437,0.013999999999999999,0.29,0.3,3516.886,230.016,204.075,55.73298613112063
